Project Name,Package Name,Architecture Smell,Cause of the Smell
.,org.jkiss.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.utils; org.jkiss.utils.rest; org.jkiss.utils
.,org.jkiss.utils.csv,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CSVParser; CSVParserBuilder; CSVReader; CSVReaderBuilder; CSVReaderNullFieldIndicator; LineReader]; [CSVWriter]. LCC (Lack of Component Cohesion) = 0.29
.,org.jkiss.utils.xml,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SAXListener; SAXListener.BaseListener; SAXReader; XMLException; XMLUtils; XMLBuilder; XMLConstants; XMLBuilder.Element]; [SAXReader.Parser]; [SAXReader.ParseErrorHandler]. LCC (Lack of Component Cohesion) = 0.3
.,org.jkiss.dbeaver.tools.compare.simple,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CompareObjectsExecutor; CompareObjectsSettings; CompareReport; CompareReportLine; CompareReportProperty; CompareReportRenderer; CompareUtils]; [CompareObjectsSettings.OutputType]. LCC (Lack of Component Cohesion) = 0.25
.,org.jkiss.dbeaver.core,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.runtime.qm; org.jkiss.dbeaver.registry.formatter; org.jkiss.dbeaver.ui.dialogs.connection; org.jkiss.dbeaver.model.runtime.load; org.jkiss.dbeaver.ui.views.process; org.jkiss.dbeaver.ui.dialogs.driver; org.jkiss.dbeaver.ui.notifications; org.jkiss.dbeaver.ui.dialogs.exec; org.jkiss.dbeaver.ui.actions.datasource; org.jkiss.dbeaver.ui.navigator.dialogs; org.jkiss.dbeaver.ui.navigator.actions; org.jkiss.dbeaver.ui.navigator.project; org.jkiss.dbeaver.ui.editors.sql; org.jkiss.dbeaver.ui.perspective; org.jkiss.dbeaver.ui.actions
.,org.jkiss.dbeaver.core,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CoreCommands]; [CoreFeatures; DBeaverActivator; DesktopPlatform; DesktopPreferencesInitializer; DesktopUI; WorkbenchContextListener; CoreMessages]; [WorkbenchContextListener.CommandExecutionListener]. LCC (Lack of Component Cohesion) = 0.33
.,org.jkiss.dbeaver.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.core; org.jkiss.dbeaver.ui.dialogs.connection; org.jkiss.dbeaver.core
.,org.jkiss.dbeaver.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.core; org.jkiss.dbeaver.ui.actions.datasource; org.jkiss.dbeaver.core
.,org.jkiss.dbeaver.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.core; org.jkiss.dbeaver.registry.language; org.jkiss.dbeaver.registry; org.jkiss.dbeaver.core
.,org.jkiss.dbeaver.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.core; org.jkiss.dbeaver.core.ui.services; org.jkiss.dbeaver.registry; org.jkiss.dbeaver.core
.,org.jkiss.dbeaver.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.core; org.jkiss.dbeaver.ui.navigator.project; org.jkiss.dbeaver.ui.project; org.jkiss.dbeaver.registry; org.jkiss.dbeaver.core
.,org.jkiss.dbeaver.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.core; org.jkiss.dbeaver.ui.perspective; org.jkiss.dbeaver.ui.navigator.database; org.jkiss.dbeaver.registry; org.jkiss.dbeaver.core
.,org.jkiss.dbeaver.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.core; org.jkiss.dbeaver.ui.perspective; org.jkiss.dbeaver.ui.views.qm; org.jkiss.dbeaver.ui.preferences; org.jkiss.dbeaver.core
.,org.jkiss.dbeaver.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.core; org.jkiss.dbeaver.ui.views.process; org.jkiss.dbeaver.ui; org.jkiss.dbeaver.ui.dialogs; org.jkiss.dbeaver.ui.preferences; org.jkiss.dbeaver.core
.,org.jkiss.dbeaver.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.core; org.jkiss.dbeaver.ui.dialogs.exec; org.jkiss.dbeaver.ui.internal; org.jkiss.dbeaver.ui.editors.entity; org.jkiss.dbeaver.ui.actions.datasource; org.jkiss.dbeaver.core
.,org.jkiss.dbeaver.core.ui.services,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.registry
.,org.jkiss.dbeaver,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.ui.editors; org.jkiss.dbeaver.ui.controls; org.jkiss.dbeaver.model; org.jkiss.dbeaver.model.sql; org.jkiss.dbeaver.utils; org.jkiss.dbeaver.model.connection; org.jkiss.dbeaver.model.virtual; org.jkiss.dbeaver.model.qm; org.jkiss.dbeaver.model.exec; org.jkiss.dbeaver.registry.formatter
.,org.jkiss.dbeaver,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DBeaverPreferences]; [DBDatabaseException; DBException]; [Log; LogHandler; ModelPreferences; ModelPreferences.SQLScriptStatementDelimiterMode; LogOutputStream]; [Log.Context]; [Log.Listener]; [ModelPreferences.SeparateConnectionBehavior]; [ModelPreferences.IPType]. LCC (Lack of Component Cohesion) = 0.58
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.ui.editors; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.ui.controls; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.model; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.model.sql; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.utils; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.model.connection; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.model.virtual; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.model.qm; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.model.exec; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.registry.formatter; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.ui.controls; org.jkiss.dbeaver.model.fs; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.ui.controls; org.jkiss.dbeaver.ui.data; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.utils; org.jkiss.dbeaver.model.impl.app; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.model.virtual; org.jkiss.dbeaver.model.data.json; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.model.virtual; org.jkiss.dbeaver.registry.expressions; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.registry.formatter; org.jkiss.dbeaver.model.impl.preferences; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.ui.editors; org.jkiss.dbeaver.model.edit.prop; org.jkiss.dbeaver.model.runtime; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.ui.controls; org.jkiss.dbeaver.ui.controls.bool; org.jkiss.dbeaver.model; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.ui.controls; org.jkiss.dbeaver.model.runtime.load; org.jkiss.dbeaver.model.runtime; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.ui.controls; org.jkiss.dbeaver.ui.editors.sql.handlers; org.jkiss.dbeaver.ui.actions.exec; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.ui.controls; org.jkiss.dbeaver.ui.editors.sql; org.jkiss.dbeaver.ui.editors.text; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.ui.controls; org.jkiss.dbeaver.ui.editors.sql; org.jkiss.dbeaver.model.text.parser; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.model; org.jkiss.dbeaver.model.impl.data; org.jkiss.dbeaver.model.data.storage; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.model.qm; org.jkiss.dbeaver.model.logical; org.jkiss.dbeaver.model; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.ui.editors; org.jkiss.dbeaver.ui.dialogs; org.jkiss.dbeaver.ui.preferences; org.jkiss.dbeaver.registry.timezone; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.ui.editors; org.jkiss.dbeaver.ui.dialogs; org.jkiss.dbeaver.ui.preferences; org.jkiss.dbeaver.runtime.net; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.ui.editors; org.jkiss.dbeaver.ui.dialogs; org.jkiss.dbeaver.registry; org.jkiss.dbeaver.model.task; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.ui.controls; org.jkiss.dbeaver.ui.editors.sql.handlers; org.jkiss.dbeaver.tools.transfer; org.jkiss.dbeaver.tools.transfer.serialize; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.ui.controls; org.jkiss.dbeaver.ui.editors.sql; org.jkiss.dbeaver.ui.editors.sql.execute; org.jkiss.dbeaver.model.sql.data; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.ui.controls; org.jkiss.dbeaver.ui.editors.sql; org.jkiss.dbeaver.model.exec.plan; org.jkiss.dbeaver.model.struct; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.ui.controls; org.jkiss.dbeaver.ui.editors.sql; org.jkiss.dbeaver.ui.editors.sql.semantics; org.jkiss.dbeaver.model.sql.semantics.completion; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.ui.controls; org.jkiss.utils.xml; org.jkiss.utils; org.jkiss.dbeaver.utils; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.model.sql; org.jkiss.dbeaver.model.sql.parser; org.jkiss.dbeaver.model.sql.analyzer; org.jkiss.dbeaver.model.lsm; org.jkiss.dbeaver
.,org.jkiss.dbeaver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver; org.jkiss.dbeaver.model.sql; org.jkiss.dbeaver.model.sql.completion; org.jkiss.dbeaver.model.sql.completion.hippie; org.jkiss.dbeaver.model.text.parser; org.jkiss.dbeaver
.,org.jkiss.dbeaver.registry,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 87
.,org.jkiss.dbeaver.registry,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.ui.dialogs.connection; org.jkiss.dbeaver.ui.actions.datasource; org.jkiss.dbeaver.registry.datatype; org.jkiss.dbeaver.registry.fs; org.jkiss.dbeaver.registry.network; org.jkiss.dbeaver.registry.task; org.jkiss.dbeaver.model.impl.app; org.jkiss.dbeaver.registry.driver; org.jkiss.dbeaver.model.impl.data; org.jkiss.dbeaver.model.security; org.jkiss.dbeaver.model.impl.sql
.,org.jkiss.dbeaver.registry,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DataSourceDescriptorManager; DataSourceDescriptor; DataSourceFolder; DataSourceNavigatorSettings; DataSourceNavigatorSettings.Preset; DataSourceOriginLocal; DataSourceOriginProviderLocal; DataSourcePreferenceStore; DataSourceProviderRegistry; DataSourceRegistry; DataSourceSerializer; DataSourceSerializerLegacy; DataSourceSerializerLegacy.DataSourcesParser; DataSourceSerializerModern; DataSourceUtils; DesktopWorkspaceImpl; DriverSubstitutionDescriptor; EclipseWorkspaceImpl; EditorContributionDescriptor; ExternalResourceDescriptor; FilterMapping; LocalProjectImpl; NativeClientDistributionDescriptor; NativeClientFileDescriptor; RegistryConstants; ResourceHandlerDescriptor; ResourceTypeDescriptor; ResourceTypeRegistry; SecureCredentials; DataSourceConfiguratorDescriptor; DataSourcePageDescriptor; DataSourceViewDescriptor; DataSourceViewRegistry; WorkbenchHandlerRegistry; WorkbenchHandlerRegistry.HandlerDescriptor; BasePlatformImpl; LocalConfigurationController; ObjectManagerRegistry; PluginServiceRegistry; BaseProjectImpl; BaseWorkspaceImpl; DataSourceAuthModelDescriptor; DataSourceBindingDescriptor; DataSourceConfigurationManager; DataSourceConfigurationManagerBuffer; DataSourceConfigurationManagerNIO; DataSourcePersistentRegistry; DataSourceConfigurationStorageDescriptor; DataSourceFileStorage; DataSourceHandlerDescriptor; DataSourceOriginLazy; DataSourceOriginProviderDescriptor; DataSourceProviderDescriptor; DataSourceProviderRegistry.ConnectionTypeParser; DriverCategoryDescriptor; DriverManagerRegistry; NativeClientDescriptor; ObjectManagerDescriptor; ProductFeatureRegistry; PluginServiceRegistry.ServiceDescriptor; ProductBundleDescriptor; ProductBundleRegistry]; [EclipsePluginApplicationImpl; DesktopApplicationImpl; BaseApplicationImpl]; [SWTBrowserRegistry]; [SWTBrowserRegistry.BrowserSelection]; [BasePolicyDataProvider]; [BaseProjectImpl.ProjectFormat]; [BaseProjectImpl.ProjectSyncJob]; [DataSourceBindingDescriptor.DataSourceInfo]; [DataSourceDescriptor.ContextInfo]; [DataSourceMemoryStorage]; [DataSourceRegistry.ParseResults]; [DataSourceRegistry.DisconnectTask]; [DataSourceRegistry.ConfigSaver]; [DesktopWorkspaceImpl.WorkspaceFilesMetadataJob]; [EclipseWorkspaceImpl.ProjectListener]; [GlobalEventManagerImpl]; [LocalFileController]; [LocalSystemRegistry]; [LocalSystemRegistry.Registry]; [LocalSystemRegistry.WindowsRegistry]; [LocalSystemRegistry.VoidRegistry]; [LocalTaskController]; [LocalWorkspaceSession]; [DBConnectionConstants]. LCC (Lack of Component Cohesion) = 0.28
.,org.jkiss.dbeaver.registry,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.registry; org.jkiss.dbeaver.ui.dialogs.connection; org.jkiss.dbeaver.registry
.,org.jkiss.dbeaver.registry,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.registry; org.jkiss.dbeaver.registry.datatype; org.jkiss.dbeaver.registry
.,org.jkiss.dbeaver.registry,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.registry; org.jkiss.dbeaver.registry.network; org.jkiss.dbeaver.registry
.,org.jkiss.dbeaver.registry,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.registry; org.jkiss.dbeaver.registry.task; org.jkiss.dbeaver.registry
.,org.jkiss.dbeaver.registry,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.registry; org.jkiss.dbeaver.registry.driver; org.jkiss.dbeaver.registry
.,org.jkiss.dbeaver.tools.configuration,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConfigurationExportData; ConfigurationExportWizard; ConfigurationExportWizardPage]; [ConfigurationImportData; ConfigurationImportWizard; ConfigurationImportWizardPage]. LCC (Lack of Component Cohesion) = 0.33
.,org.jkiss.dbeaver.tools.project,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExportConstants; ProjectExportWizard; ProjectExportWizardPage; ProjectImportData; ProjectImportWizard; ProjectImportWizardPageFile; ProjectExportData]; [ProjectCreateData; ProjectCreateWizard; ProjectCreateRemotePage]. LCC (Lack of Component Cohesion) = 0.2
.,org.jkiss.dbeaver.tools.scripts,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ScriptsExportData; ScriptsExportWizard; ScriptsExportWizardPage; ScriptsImportWizardPage; ScriptsImportData; ScriptsImportWizard; ScriptsImportWizard.ScriptsImporter]; [ScriptsImportWizardPage.ConnectionLabelProvider]. LCC (Lack of Component Cohesion) = 0.25
.,org.jkiss.dbeaver.ui.actions.datasource,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 47
.,org.jkiss.dbeaver.ui.actions.datasource,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConnectionViewSettingsContributor; DataSourceMenuContributor; SelectActiveDataSourceHandler.MenuContributor; SelectActiveSchemaHandler.MenuContributor; DataSourceTransactionModeContributor; NewConnectionDriverSelectorContributor]; [ConnectionViewSettingsContributor.SettingsAction]; [ConnectionViewSettingsContributor.UseSettingsPresetAction]; [ConnectionViewSettingsContributor.UseSettingsCustomAction]; [ConnectionViewSettingsContributor.ShowSystemObjectsAction]; [ConnectionViewSettingsContributor.ShowHostNameAction]; [ConnectionViewSettingsContributor.ShowObjectsDescriptionAction]; [ConnectionViewSettingsContributor.ShowStatisticsAction]; [ConnectionViewSettingsContributor.ShowStatusIconsAction]; [DataSourceAutoCommitHandler]; [DataSourceCommitHandler]; [DataSourceConnectHandler; DataSourceHandler; DataSourceDisconnectAllHandler; DataSourceDisconnectHandler; DataSourceDisconnectOtherHandler; DataSourceDisconnectProjectHandler; DataSourceInvalidateHandler; DataSourceReadonlyHandler; DataSourceSynchronizeHandler; DataSourceToolbarUtils; SelectActiveDataSourceHandler; SelectActiveSchemaHandler; DataSourceToolbarHandler; FolderDisconnectHandler; UIServiceConnectionsImpl]; [DataSourceCreateFromUrlHandler]; [DataSourceCreateHandler]; [DataSourceInvalidateHandler.ConnectionRecoverDialog]; [DataSourceMigrateHandler]; [DataSourcePendingTransactionsHandler]; [DataSourceRollbackHandler]; [DataSourceTransactionLogHandler]; [DataSourceTransactionModeContributor.TransactionAutoCommitAction]; [DataSourceTransactionModeContributor.SmartAutoCommitAction]; [DataSourceTransactionModeContributor.TransactionIsolationAction]; [NewConnectionDriverSelectorContributor.NewConnectionAction]; [ToolsContextMenuHandler]; [DataSourceHandler.EndTransactionTask]; [DataSourceHandler.TransactionCloseConfirmer]; [DataSourceHandler.TransactionEndConfirmer]; [DataSourceHandler.TransactionEndConfirmDialog]. LCC (Lack of Component Cohesion) = 0.6
.,org.jkiss.dbeaver.ui.actions.datasource,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.ui.actions.datasource; org.jkiss.dbeaver.ui.controls.txn; org.jkiss.dbeaver.ui.actions.datasource
.,org.jkiss.dbeaver.ui.actions.datasource,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.ui.actions.datasource; org.jkiss.dbeaver.ui.editors.entity; org.jkiss.dbeaver.ui.actions.datasource
.,org.jkiss.dbeaver.ui.actions,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.ui.navigator.actions
.,org.jkiss.dbeaver.ui.actions,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DataSourceContainerPropertyTester]; [DataSourcePropertyTester; DataSourcePropertyTester.QMEventsHandler; ConnectionCommands]; [DataSourcePropertyTester.QMService]; [FolderPropertyTester]; [ToolBarConfigurationDescriptor; ToolBarConfigurationRegistry; ToolBarConfigurationPropertyTester]; [ToolBarConfigurationDescriptor.Item]; [DataSourceHandlerUtils]; [DataSourceHandlerUtils.CredentialsSelectorDialog]; [ChangePasswordDialogHandler]; [ChangeUserPasswordPropertyTester]; [AbstractDataSourceHandler]; [AbstractPageListener]; [ContentTypeParameterValues]; [EmptyListAction]; [GlobalPropertyTester; GlobalPropertyTester.ResourceListener]; [ModelPropertyTester]; [ObjectPropertyTester]. LCC (Lack of Component Cohesion) = 0.77
.,org.jkiss.dbeaver.ui.actions,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.ui.actions; org.jkiss.dbeaver.ui.navigator.actions; org.jkiss.dbeaver.ui.actions
.,org.jkiss.dbeaver.ui.controls.txn,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.ui.actions.datasource
.,org.jkiss.dbeaver.ui.controls.txn,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PendingTransactionsDialog; TransactionInfoDialog; TransactionLogDialog]; [TransactionMonitorToolbar]; [TransactionMonitorToolbar.RefreshJob]; [TransactionMonitorToolbar.MonitorPanel]; [TransactionMonitorToolbar.ToolbarContribution]; [TransactionMonitorToolbar.QMEventsHandler]. LCC (Lack of Component Cohesion) = 0.75
.,org.jkiss.dbeaver.ui.dialogs.connection,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 46
.,org.jkiss.dbeaver.ui.dialogs.connection,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.ui.dialogs.driver; org.jkiss.dbeaver.ui.preferences; org.jkiss.dbeaver.ui.actions.datasource
.,org.jkiss.dbeaver.ui.dialogs.connection,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConnectionNameResolver; ConnectionPageGeneral; ConnectionPageGeneralHelper; ConnectionPageInitialization; ConnectionPageSettings; ConnectionPageShellCommands; ConnectionWizard; ConnectionWizardPage; EditBootstrapQueriesDialog; EditConnectionDialog; EditConnectionNavigatorSettingsDialog; EditConnectionPermissionsDialog; EditConnectionWizard; EditWizardPageDialog; NavigatorSettingsStorage; NewConnectionDialog; NewConnectionWizard; ConnectionPageAbstract; ConnectionPageWithAuth; DriverPropertiesDialogPage; ConnectionPageDeprecation; ConnectionPageDriver; ProjectSelectorPanel; ConnectionPageNetwork; ConnectionPageNetworkHandler; ConnectionPageSettings.AddNetworkHandlerAction; AuthModelSelector; ConnectionPropertiesControl]; [ConnectionPageGeneral.FilterInfo]; [ConnectionPageNetwork.HandlerBlock]; [ConnectionTestDialog]; [ConnectionTestDialog.PropertiesDialog]; [ConnectionTypeLabelProvider]; [MigrateConnectionWizard]; [MigrateConnectionWizard.PageConnections]; [MigrateConnectionWizard.PageDriver]; [NewConnectionFromUrlDialog]; [NewConnectionFromUrlDialog.DriverLabelProvider]; [NewConnectionFromUrlDialog.DriverContentProvider]; [NewConnectionFromUrlDialog.DriverInfo]; [PasswordChangeDialog]; [ClientHomesPanel; ClientHomesPanel.ChooserDialog; ClientHomesSelector]; [ClientHomesPanel.HomeInfo]; [DatabaseNativeAuthModelConfigurator]. LCC (Lack of Component Cohesion) = 0.37
