Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
.,org.jkiss.utils,Base64,decode,Magic Number,The method contains a magic number: 3,146
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 16,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 8,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 18,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 12,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 6,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 8,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 10,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,178
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 16,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 8,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 18,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 12,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 6,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 8,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 10,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,215
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 16,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 8,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 18,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 12,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 6,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 8,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 10,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,252
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 16,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 8,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 18,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 12,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 6,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 8,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0xff,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 10,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 2,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 0x3f,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 3,293
.,org.jkiss.utils,Base64,encode,Magic Number,The method contains a magic number: 4,293
.,org.jkiss.utils,BeanUtils,getPropertyNameFromGetter,Magic Number,The method contains a magic number: 3,38
.,org.jkiss.utils,BeanUtils,getPropertyNameFromGetter,Magic Number,The method contains a magic number: 4,38
.,org.jkiss.utils,BeanUtils,getPropertyNameFromGetter,Magic Number,The method contains a magic number: 2,38
.,org.jkiss.utils,BeanUtils,getPropertyNameFromGetter,Magic Number,The method contains a magic number: 3,38
.,org.jkiss.utils,BeanUtils,getPropertyNameFromGetter,Magic Number,The method contains a magic number: 3,38
.,org.jkiss.utils,BeanUtils,getPropertyNameFromGetter,Magic Number,The method contains a magic number: 4,38
.,org.jkiss.utils,BeanUtils,getSetterName,Magic Number,The method contains a magic number: 3,57
.,org.jkiss.utils,BeanUtils,getSetterName,Magic Number,The method contains a magic number: 2,57
.,org.jkiss.utils,BeanUtils,getSetterName,Magic Number,The method contains a magic number: 3,57
.,org.jkiss.utils,BeanUtils,methodNameToPropertyName,Complex Conditional,The conditional expression Character.isUpperCase(ch) && (methodName.length() == 1 || !Character.isUpperCase(methodName.charAt(1))) is complex.,138
.,org.jkiss.utils,BeanUtils,methodNameToPropertyName,Magic Number,The method contains a magic number: 3,138
.,org.jkiss.utils,BeanUtils,methodNameToPropertyName,Magic Number,The method contains a magic number: 3,138
.,org.jkiss.utils,BeanUtils,methodNameToPropertyName,Magic Number,The method contains a magic number: 2,138
.,org.jkiss.utils,BeanUtils,getGetMethod,Complex Conditional,The conditional expression (!Modifier.isPublic(method.getModifiers())) || (!Modifier.isPublic(method.getDeclaringClass().getModifiers())) || (method.getParameterTypes().length != 0)|| (method.getReturnType().equals(void.class)) is complex.,224
.,org.jkiss.utils,BeanUtils,getGetMethod,Complex Method,Cyclomatic complexity of the method is 8,224
.,org.jkiss.utils,BeanUtils,getGetMethod,Long Statement,The length of the statement "if ((!Modifier.isPublic(method.getModifiers())) || (!Modifier.isPublic(method.getDeclaringClass().getModifiers())) || (method.getParameterTypes().length != 0)|| (method.getReturnType().equals(void.class))) {" is 207.,224
.,org.jkiss.utils,BeanUtils,getSetMethod,Complex Conditional,The conditional expression !(ignoreCase ? method.getName().equalsIgnoreCase(setName) : method.getName().equals(setName)) || !Modifier.isPublic(method.getModifiers()) || !Modifier.isPublic(method.getDeclaringClass().getModifiers())|| method.getParameterTypes().length != 1 is complex.,263
.,org.jkiss.utils,BeanUtils,getSetMethod,Long Statement,The length of the statement "if (!(ignoreCase ? method.getName().equalsIgnoreCase(setName) : method.getName().equals(setName)) || !Modifier.isPublic(method.getModifiers()) || !Modifier.isPublic(method.getDeclaringClass().getModifiers())|| method.getParameterTypes().length != 1) continue;" is 259.,263
.,org.jkiss.utils,BeanUtils,getDefaultPrimitiveValue,Complex Method,Cyclomatic complexity of the method is 9,302
.,org.jkiss.utils,BeanUtils,isNumericType,Long Statement,The length of the statement "return Number.class.isAssignableFrom(paramClass) || paramClass == Short.TYPE || paramClass == Integer.TYPE || paramClass == Long.TYPE || paramClass == Double.TYPE || paramClass == Float.TYPE || paramClass == Byte.TYPE;" is 218.,324
.,org.jkiss.utils,BeanUtils,getInheritedFieldValue,Empty catch clause,The method has an empty catch block.,454
.,org.jkiss.utils,BeanUtils,handleObjectMethod,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@2ce4f223,476
.,org.jkiss.utils,ByteNumberFormat,computeIndex,Magic Number,The method contains a magic number: 1024,49
.,org.jkiss.utils,ByteNumberFormat,computeIndex,Magic Number,The method contains a magic number: 1024,49
.,org.jkiss.utils,ByteNumberFormat,getBytes,Magic Number,The method contains a magic number: 1024,68
.,org.jkiss.utils,ByteNumberFormat,getBytes,Magic Number,The method contains a magic number: 10,68
.,org.jkiss.utils,CommonUtils,escapeJavaString,Magic Number,The method contains a magic number: 5,48
.,org.jkiss.utils,CommonUtils,escapeJavaString,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@5a79b66b,48
.,org.jkiss.utils,CommonUtils,escapeFileName,Complex Conditional,The conditional expression Character.isISOControl(c) || c == '\\' || c == '/' || c == '<' || c == '>' || c == '|' || c == '"' || c == ':' || c == '*' || c == '?' is complex.,83
.,org.jkiss.utils,CommonUtils,escapeFileName,Long Statement,The length of the statement "if (Character.isISOControl(c) || c == '\\' || c == '/' || c == '<' || c == '>' || c == '|' || c == '"' || c == ':' || c == '*' || c == '?') {" is 141.,83
.,org.jkiss.utils,CommonUtils,equalsContents,Complex Conditional,The conditional expression c1 == null || c2 == null || c1.size() != c2.size() is complex.,327
.,org.jkiss.utils,CommonUtils,isInfinite,Long Statement,The length of the statement "return (value instanceof Float && ((Float)value).isInfinite()) || (value instanceof Double && ((Double)value).isInfinite());" is 124.,522
.,org.jkiss.utils,CommonUtils,toHexString,Magic Number,The method contains a magic number: 2,534
.,org.jkiss.utils,CommonUtils,toHexString,Magic Number,The method contains a magic number: 0xFF,534
.,org.jkiss.utils,CommonUtils,toHexString,Magic Number,The method contains a magic number: 2,534
.,org.jkiss.utils,CommonUtils,toHexString,Magic Number,The method contains a magic number: 4,534
.,org.jkiss.utils,CommonUtils,toHexString,Magic Number,The method contains a magic number: 2,534
.,org.jkiss.utils,CommonUtils,toHexString,Magic Number,The method contains a magic number: 0x0F,534
.,org.jkiss.utils,CommonUtils,parseHexString,Magic Number,The method contains a magic number: 2,548
.,org.jkiss.utils,CommonUtils,parseHexString,Magic Number,The method contains a magic number: 2,548
.,org.jkiss.utils,CommonUtils,parseHexString,Magic Number,The method contains a magic number: 2,548
.,org.jkiss.utils,CommonUtils,parseHexString,Magic Number,The method contains a magic number: 16,548
.,org.jkiss.utils,CommonUtils,parseHexString,Magic Number,The method contains a magic number: 4,548
.,org.jkiss.utils,CommonUtils,parseHexString,Magic Number,The method contains a magic number: 16,548
.,org.jkiss.utils,CommonUtils,toBinaryString,Magic Number,The method contains a magic number: 2,557
.,org.jkiss.utils,CommonUtils,fromOrdinal,Long Statement,The length of the statement "IllegalArgumentException error=new IllegalArgumentException("Invalid ordinal " + ordinal + " for type "+ enumClass.getName());" is 126.,707
.,org.jkiss.utils,CommonUtils,isSameDay,Long Statement,The length of the statement "return (cal1.get(Calendar.ERA) == cal2.get(Calendar.ERA) && cal1.get(Calendar.YEAR) == cal2.get(Calendar.YEAR) && cal1.get(Calendar.DAY_OF_YEAR) == cal2.get(Calendar.DAY_OF_YEAR));" is 180.,879
.,org.jkiss.utils,CommonUtils,unescapeBourneShellString,Complex Conditional,The conditional expression !s.startsWith("'") || !s.endsWith("'") || s.length() < 2 is complex.,889
.,org.jkiss.utils,CommonUtils,unescapeBourneShellString,Magic Number,The method contains a magic number: 2,889
.,org.jkiss.utils,CommonUtils,isDigit,Magic Number,The method contains a magic number: 36,896
.,org.jkiss.utils,CommonUtils,isDigit,Magic Number,The method contains a magic number: 10,896
.,org.jkiss.utils,CommonUtils,isDigit,Magic Number,The method contains a magic number: 10,896
.,org.jkiss.utils,CommonUtils,escapeHtml,Long Statement,The length of the statement "return text.replace("&"`"&amp;").replace("<"`"&lt;").replace(">"`"&gt;").replace("\r\n"`"<br>").replace("\r"`"<br>").replace("\n"`"<br>");" is 138.,937
.,org.jkiss.utils,GsonUtils,gsonBuilder,Long Statement,The length of the statement "return new GsonBuilder().registerTypeHierarchyAdapter(byte[].class`new ByteArrayToBase64TypeAdapter()).serializeNulls().enableComplexMapKeySerialization().setPrettyPrinting();" is 175.,24
.,org.jkiss.utils,IntKeyMap,IntKeyMap,Long Statement,The length of the statement "if (loadFactor <= 0 || Float.isNaN(loadFactor)) throw new IllegalArgumentException("Illegal load factor: " + loadFactor);" is 121.,71
.,org.jkiss.utils,IntKeyMap,hash,Magic Number,The method contains a magic number: 32,121
.,org.jkiss.utils,IntKeyMap,hash,Magic Number,The method contains a magic number: 9,121
.,org.jkiss.utils,IntKeyMap,hash,Magic Number,The method contains a magic number: 14,121
.,org.jkiss.utils,IntKeyMap,hash,Magic Number,The method contains a magic number: 4,121
.,org.jkiss.utils,IntKeyMap,hash,Magic Number,The method contains a magic number: 10,121
.,org.jkiss.utils,IntKeyMap,containsValue,Long Statement,The length of the statement "for (int i=0; i < tab.length; i++) for (IntEntry<VALUE> e=tab[i]; e != null; e=e.next) if (value.equals(e.value)) return true;" is 126.,440
.,org.jkiss.utils,IntKeyMap,addEntry,Magic Number,The method contains a magic number: 2,560
.,org.jkiss.utils,IOUtils,findFreePort,Empty catch clause,The method has an empty catch block.,261
.,org.jkiss.utils,IOUtils,findFreePort,Empty catch clause,The method has an empty catch block.,261
.,org.jkiss.utils,IOUtils,readToString,Magic Number,The method contains a magic number: 4000,279
.,org.jkiss.utils,IOUtils,readToString,Magic Number,The method contains a magic number: 4000,279
.,org.jkiss.utils,LongKeyMap,LongKeyMap,Long Statement,The length of the statement "if (loadFactor <= 0 || Float.isNaN(loadFactor)) throw new IllegalArgumentException("Illegal load factor: " + loadFactor);" is 121.,70
.,org.jkiss.utils,LongKeyMap,hash,Magic Number,The method contains a magic number: 32,120
.,org.jkiss.utils,LongKeyMap,hash,Magic Number,The method contains a magic number: 9,120
.,org.jkiss.utils,LongKeyMap,hash,Magic Number,The method contains a magic number: 14,120
.,org.jkiss.utils,LongKeyMap,hash,Magic Number,The method contains a magic number: 4,120
.,org.jkiss.utils,LongKeyMap,hash,Magic Number,The method contains a magic number: 10,120
.,org.jkiss.utils,LongKeyMap,containsValue,Long Statement,The length of the statement "for (int i=0; i < tab.length; i++) for (LongEntry<VALUE> e=tab[i]; e != null; e=e.next) if (value.equals(e.value)) return true;" is 127.,439
.,org.jkiss.utils,LongKeyMap,containsNullValue,Long Statement,The length of the statement "for (int i=0; i < tab.length; i++) for (LongEntry<VALUE> e=tab[i]; e != null; e=e.next) if (e.value == null) return true;" is 121.,485
.,org.jkiss.utils,LongKeyMap,addEntry,Magic Number,The method contains a magic number: 2,559
.,org.jkiss.utils,MimeType,match,Long Statement,The length of the statement "return primaryType.equals(type.getPrimaryType()) && (subType.equals("*") || type.getSubType().equals("*") || (subType.equals(type.getSubType())));" is 146.,81
.,org.jkiss.utils,SecurityUtils,generateGUID,Magic Number,The method contains a magic number: 32,43
.,org.jkiss.utils,SecurityUtils,generateGUID,Magic Number,The method contains a magic number: 16,43
.,org.jkiss.utils,SecurityUtils,generateGUID,Magic Number,The method contains a magic number: 0xFF,43
.,org.jkiss.utils,SecurityUtils,generateGUID,Magic Number,The method contains a magic number: 0x10,43
.,org.jkiss.utils,SecurityUtils,generateGUID,Magic Number,The method contains a magic number: 8,43
